date_scraped,url,lat,lon,address,city,state,zip,price,beds,baths,half_baths,sq_ft,sqft_lot,acres_lot,status,price_sq_ft,on_realtor,type,built,style,description
03/31/2019,https://www.realtor.com/realestateandhomes-detail/3800-Stratford-Ave_Dallas_TX_75205_M77999-31009,32.834234,-96.796696,3800 Stratford Ave,Highland Park,TX,75205.0,7595000.0,6.0,7.0,3.0,8664.0,,0.33,Active,877,261 days,Single Family Home,2006.0,"French,Traditional","Stunning French home built in 2006 on large corner lot on one of Highland Park's most desirable streets. Amenities include fabulous floor plan with well proportioned rooms and natural light throughout. Exceptional detail with gorgeous moldings, wood floors, windows and doors. There are 6 bedrooms, 7 full baths, 3 half baths, oversized garages, gourmet kitchen opening to den, antique French limestone fireplaces, game room, elevator, beautiful library, pool, wine room, outdoor fireplace. This home is truly a Masterpiece appointed with highest quality materials...an Architectural Dream!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/6510-Forestshire-Dr_Dallas_TX_75230_M83798-69385,32.907973,-96.793858,6510 Forestshire Dr,Dallas,TX,75230.0,,3.0,2.0,2.0,3504.0,,0.37,Sold,No Info,,Single Family Home,1979.0,,", - Sophisticated soft contemporary in prized location with Zen-like front courtyard, expansive rooms, open floor plan and magnificent windows.Great views of large treed backyard and deck, giving the feel of a private enclave.Dramatic lighting in front & back yards.Elegant master retreat with motorized drapes, beautifully appointed bath and large walk-in closet.Adjoining living areas, each with fireplace, offer great flow for entertaining as well as a cozy media area.2 powder rooms.Oversized UR that could be combined with garage storage for a 4th bedroom or used as informal home office.2nd set of W-D hookups in hall closet near bedrooms. Fully appointed kitchen and breakfast room overlook yet another private courtyard."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/907-N-Beckley-Ave_Dallas_TX_75203_M71886-31861,32.754078,-96.823193,907 N Beckley Ave Lot 9,Dallas,TX,75203.0,500000.0,,,,,7187.0,,Active,,103 days,Land,1925.0,,"Partial downtown views, zoning changed residential to commercial. Value is in the land. Property is in the middle of commercial development. Blocks from the Bishop Arts District, near Central Market location, 6th street rail line and Lake Cliff Park. Current zoning is mixed use, WMU8, saving time and money from having to have it rezoned. See aerial photography for better understanding of proximity to new construction and opportunities for expansion. Excellent opportunity for residential condos, retail, or medical."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/9957-Faircrest-Dr_Dallas_TX_75238_M89631-74106,32.889866999999995,-96.713974,9957 Faircrest Dr,Dallas,TX,75238.0,,3.0,2.0,1.0,2146.0,8350.0,,Sold,No Info,,Single Family Home,1968.0,,", - Imagine! Your own spacious ranch in popular Lake Highlands surrounded by trees and character! Ideally located near major roads, superbly situated in sought after Richardson ISD and just a short drive to the Lake Highlands Town Center and new Alamo Drafthouse. Start your day in this peaceful retreat with coffee by the circle bay window in your recently renovated kitchen and spend quality time in your living room filled with natural light from the skylight and back patio. Spacious bedrooms to fit your king size furniture. Separate office or craft room located off the laundry. Built-ins throughout and 2 walk in master closets offer plenty of storage space. Recent updates include roof, HVAC, appliances, cabinets++"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/6005-Davenport-Rd_Dallas_TX_75248_M78277-71817,32.976519,-96.803526,6005 Davenport Rd,Dallas,TX,75248.0,434900.0,4.0,3.0,,2675.0,7405.0,,Pending,163,149 days,Single Family Home,1978.0,Traditional,"Timeless elegance is the theme when describing 6005 Davenport. Classic construction with today's modern touches make this one a true Far North Dallas prize. This home is conveniently located near Preston & Keller Springs; yet situated off the beaten path on a heavily tree-lined street. Upon entry, you can see the seller has spared no expense with the upgrades. Luxurious hand scraped hardwoods stretch throughout the main living areas; designer tones in every room. The kitchen remodel is a true chef's delight. Commercial grade hood, wine cooler, gleaming granite, with an open floor plan ripe for entertaining complete with bar. Out back, a true backyard oasis with shimmering pool & spa combo. Make it yours!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4201-Colonial-Ave_Dallas_TX_75215_M83787-11631,32.751922,-96.766448,4201 Colonial Ave Lot 1 A,Dallas,TX,75215.0,87500.0,,,,,,0.37,Active,,66 days,Land,,,"Zoned 'NC' (Neighborhood Commercial PD-595 Sub-District) This allows for: Institutional and Community Service Buildings, Offices & Private Schools, Laundromat, Dry Cleaners, Financial Institutions, General Goods, Beer & Wine Stores & Other Retail and Personal Service Buildings . . .FRESH SURVEY AVAILABLE ----> OWNER FINANCING AVAILABLE WITH LARGE DOWN PAYMENT"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5909-Luther-Ln-A2101_Dallas_TX_75225_M71785-88091,32.86392,-96.81081,5909 Luther Ln Apt 2101,Dallas,TX,75225.0,1025000.0,3.0,3.0,1.0,2849.0,,1.51,Active,360,297 days,Condo/Townhome/Row Home/Co-Op,1983.0,Traditional,"Amazing Downtown Views & HPISD in this sought after floorpan. 3 Bedrooms 3.1Baths, hardwood floors gourmet kitchen Sub-Zero fridge and Jenn air appliances. Luxurious Master Bedroom with sitting area and luxurious Spa bathroom with marble floors. Resort Style Amenities include: Valet parking, 24-7 front desk, fitness center, clubroom, heated pool, private poolside cabanas, putting green, shuffle board, large covered outdoor grill space next to the pool for you to enjoy beautiful sunsets. Amazing location next to great restaurants and shopping."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/1755-Prescott-Pl_Farmers-Branch_TX_75234_M78183-57624,32.916178,-96.918484,1755 Prescott Place Pass,Farmers Branch,TX,75234.0,549473.0,4.0,3.0,1.0,3345.0,6098.0,,Active,164,291 days,Single Family Home,2018.0,Traditional,MLS# 13865502 - Built by First Texas Homes - Ready Now! ~ Gorgeous custom home with an open kitchen to the family room. The gourmet kitchen has a large island and beautiful granite countertops. The family room features beautiful wood flooring and a coffered ceiling. This home also has a large covered patio and a mud room plus home automation!
03/31/2019,https://www.realtor.com/realestateandhomes-detail/3208-Cole-Ave-Apt-1210_Dallas_TX_75204_M89283-36624,32.803917999999996,-96.800647,3208 Cole Ave Apt 1210,Dallas,TX,75204.0,284000.0,2.0,2.0,,1048.0,,1.42,Active,271,127 days,Condo/Townhome/Row Home/Co-Op,1984.0,Traditional,"Located in the heart of Uptown, this chic condo is light and bright offering an open concept floorpan, plantation shutters, walk-in closet in master, neutral paint and hardwood flooring throughout, decorative crystal doorknobs, designer light fixtures with dimmer switches, upgraded recessed lighting, and beautiful granite countertops. Bedrooms are currently connected by French doors. This incredible complex boasts a gated entrance with elevator, assigned garage parking, and beautiful pool in the courtyard. Prime location near the Katy Trail, Historic Trolley, and hopping Mckinney Avenue allows an incredible opportunity to walk to and from your favorite spots!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/12480-Abrams-Rd-Apt-3003_Dallas_TX_75243_M88795-39639,32.917527,-96.732674,12480 Abrams Rd Apt 3003,Dallas,TX,75243.0,73000.0,,,,779.0,,17.99,Active,94,242 days,Condo/Townhome/Row Home/Co-Op,1982.0,,"Great investment opportunity or perfect for low-maintenance living! Spacious 1 bedroom, 1 bath condominium in Richardson ISD. Amenities include 2 pools, tennis court, small dog park & 24-hour courtesy patrol."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4240-Prescott-Ave-Apt-5B_Dallas_TX_75219_M84136-04447,32.808079,-96.81534599999999,4240 Prescott Ave Apt 5 B,Dallas,TX,75219.0,679000.0,2.0,2.0,1.0,2293.0,,0.66,Pending,296,152 days,Condo/Townhome/Row Home/Co-Op,2004.0,"Contemporary,Modern,French,Mediterranean,Traditional","Premier B plan in exclusive Drexel Highlander.Scenic north views to treetops of Highland Park.Terrific walkability to myriad of shops, restaurants & Turtle Creek parks. Private elevator directly into unit from garage & lobby.10 ft. ceilings, travertine floors in well defined living areas.3 balconies.Built-in walnut bookshelves & decorative fireplace in cozy Inglenook.Recessed lighting.Granite tops, walk-in pantry, top-end appliances, & exterior vented Wolf gas cooktop are features of chef's kitchen.Large utility.Keeping room with fireplace flanked by built-ins.Master suite an oasis with 2 sinks, Toto Chloe washlet, separate tub & shower, huge wardrobe.Freshly painted;carpets cleaned, floors polished & move-in ready."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2774-Prosperity-Ave_Dallas_TX_75216_M73872-47442,32.710123,-96.779362,2774 Prosperity Ave Lot 60,Dallas,TX,75216.0,125000.0,,,,,,1.01,Active,,100 days,Land,,,"ONE ACRE, 100x439. ABOUT $1.24 PER SQFT. EMPTY LOT WITH TREES. COME BUILD YOUR DREAM HOME HERE. BUYER TO VERIFY ALL INFO INCLUDING MEASUREMENTS, SCHOOLS, & TAXES."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/6832-Mountain-Cedar-Ln_Dallas_TX_75236_M86435-73159,32.664964000000005,-96.933623,6832 Mountain Cedar Ln,Dallas,TX,75236.0,185000.0,3.0,2.0,,1713.0,6316.0,,Pending,108,141 days,Single Family Home,1987.0,Traditional,"New Paint and Carpet..You won't believe this 3 bedroom, 2 bathroom beauty over 1, 700 sqft. Great Location I-20 and N Cedar Ridge Dr. in Dallas (Duncanville Schools) Walking distance to Duncanville High School. Schedule your showing now, before it's gone again!! Buyer's finance fell through Seller is motivated, will consider all reasonable offers."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2846-Bedford-St_Dallas_TX_75212_M79531-83512,32.777481,-96.867093,2846 Bedford St Lot 1,Dallas,TX,75212.0,75000.0,,,,,5184.0,,Active,,101 days,Land,,,"2842 Bedford also listed at $75, 000. Lots are side by side. Near Trinity Groves."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5046-W-University-Blvd_Dallas_TX_75209_M73170-20736,32.844696,-96.824187,5046 W University Blvd,Dallas,TX,75209.0,975000.0,6.0,5.0,,,8756.0,,Active,No Info,253 days,Multi-Family Home,1945.0,,"You'll love this charming 2 story cottage style duplex! Spectacular location to every amenity. Unit 1: 2-2 with lovely hardwoods and fireplace Unit 2: 3-2 also has cozy fireplace with original nailed hardwoods. Easy to show! Unique garage apartment totally separate from duplex makes for a nice 3rd revenue stream; Two car detached garage with automatic gate for backyard; Situated in highly sought after W. University Park area. Walking distance to everything. Won't last long, bring your design ideas."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5530-Longview-St_Dallas_TX_75206_M83339-62115,32.830612,-96.773293,5530 Longview St,Dallas,TX,75206.0,569000.0,3.0,2.0,,2314.0,7928.0,,Pending,246,151 days,Single Family Home,1946.0,Tudor,"Beautifully remodeled, custom Tudor home in the M Streets area located within sought after Mockingbird (Stonewall Jackson) Elementary is ready to be yours. This home boasts gorgeous hardwood floors and lots of windows for loads of natural light. Ample fenced in back yard with stone deck perfect for gardening and entertaining. Newer HVAC. Walking distance to popular dining, shopping and nightlife. Comes with all appliances including Viking gas cooktop, Maytag stainless steel fridge, InSinkErator disposal and Samsung front load washer and dryer. Live your best life here. Priced to move!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4167-Gladewater-Rd_Dallas_TX_75216_M80092-58363,32.700793,-96.788703,4167 Gladewater Rd,Dallas,TX,75216.0,,3.0,2.0,,1100.0,7096.0,,Sold,No Info,,Single Family Home,1940.0,,", - CALLING ALL INVESTORS!!!! This 3-2 home with mother n law suite in sourthern Oak Cliff has a lot of potential for great rental income. House is in need of work throughout to make great again. Garage is converted to mother n law suite with living area, kitchenette, full bath and small storage area with nice size backyard. SELLER IS VERY MOTIVATED!!! ALL OFFERS WILL BE LOOKED AT! Conveniently located by DART rail, not too far away from Downtown Dallas, VA Hospital , parks, stores, restuarants and small shopping centers. Homebuyers who doesnt mind doing some work are welcomed to make offer as well. Call CSS and schedule your appointment TODAY! Buyer and buyer's agent to verify all information and measurements."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/7876-Minglewood-Ln_Dallas_TX_75231_M73159-64081,32.889448,-96.761295,7876 Minglewood Ln,Dallas,TX,75231.0,472994.0,3.0,2.0,1.0,1859.0,,0.5,Active,254,287 days,Single Family Home,2017.0,"Contemporary,Modern","MLS# 13869035 - Built by MHI Coventry Homes - CONST. COMPLETED Oct 31 ~ Lock n'Leave, Zero-Lot-Line, Gated, Pool, 2-Story, Single family home. 3+2.5+2. Gorgeous freestanding Home. Family room has soaring 21' ceiling, all other rooms 10' ceilings. Open concept. Kitchen, with large island, opens onto the family and dinning. Master and other 2 bedrooms up. LEED for homes -Certified featuring a state of the art security system that can be controlled anywhere in the world!!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/9626-Brierwyck-Dr_Dallas_TX_75217_M86217-45405,32.68792,-96.65573499999999,9626 Brierwyck Dr,Dallas,TX,75217.0,,3.0,2.0,1.0,1512.0,7501.0,,Sold,No Info,,Single Family Home,2003.0,,", - Move-in ready and waiting on you! 2-story home with living area, open kitchen, and half-bath downstairs and 3 bedrooms with 2 full baths upstairs. Master bedroom has large walk-in closet. Spacious and fenced backyard, covered front porch. Sprinkler system."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/7027-Coleshire-Dr_Dallas_TX_75232_M82367-96505,32.662974,-96.828071,7027 Coleshire Dr,Dallas,TX,75232.0,97550.0,3.0,,,1178.0,9932.0,,Pending,83,146 days,Single Family Home,1956.0,,"One of the best priced homes in the area. Monthly payment will be comparable or less than some apartments in the area Some updating is required. Nice sized lot. Extra storage building. Call or text for details. If you are an investor, this property will make a nice rental for your portfolio."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2222-Forest-Oaks-Dr_Dallas_TX_75228_M85668-03575,32.809791,-96.70488,2222 Forest Oaks Dr,Dallas,TX,75228.0,173600.0,3.0,2.0,,1300.0,7732.0,,Off Market,134,,Single Family Home,1955.0,,", -
                      Charming Mid-Century Three Bedroom Two Bath home nestled in the heart of Forest Oaks. Large and spacious rooms showcase this properties unique charm. Floor to ceiling windows throughout the house also provide warmth and beauty to enjoy the meticulously maintained grounds. Don't miss out on this rare and unique opportunity as this home will go fast."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4823-W-Hanover-Ave_Dallas_TX_75209_M74564-39445,32.855478999999995,-96.826917,4823 W Hanover Ave,Dallas,TX,75209.0,1275000.0,4.0,4.0,1.0,3889.0,7492.0,,Active,328,300 days,Single Family Home,2017.0,"Contemporary,Modern","Extraordinary Modern Architecture stuns with clean lines & masterful design. Constructed by Briarwood luxury builder Alexander Hunt Distinct Homes, the residence is set apart by smooth limestone, standing seam roof, & striking curb appeal. 11 ft ceilings on main level, 5 inch quartersawn white oak flrs, LED lighting, & stone clad fireplace form the expansive open concept overlooking lush landscape. Kitchen with immense Quartzite island, Rift cut oak cabinetry, & Thermador professional appl. Full-service wet bar equipped with ice machine and wine fridge. Downstairs Master suite feat spa bath, split vanities, & oversized closet. Upstairs 3 bdrms & game rm . Spacious outdoor living center with fireplace."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/716-W-9th-St_Dallas_TX_75208_M87979-66142,32.746049,-96.834693,716 W 9th St,Dallas,TX,75208.0,535000.0,3.0,3.0,,2225.0,9017.0,,Active,240,257 days,Condo/Townhome/Row Home/Co-Op,2019.0,"Contemporary,Modern","7SiXteen By Bishop is a 7 unit new construction townhome development offering luxury design that embodies urban elegance in the heart of Bishop Arts. These 3 bedroom, 3 bath homes feature spacious modern interiors with 10 ft ceilings, over sized windows with curtain folding patio door, KitchenAid appliances and beautiful high-end quartz countertops. Each unit includes a private 2-car garage, multiple outdoor landings and a stunning 665 sqft rooftop deck with views of the Dallas skyline. Be part of the eclectic, walkable Bishop Arts neighborhood, just 10 minutes from Downtown Dallas and walking distance to the DART Trolley. Starting at $535, 000. Expected completion 2nd Quarter 2019."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4415-Lorraine-Ave_Dallas_TX_75205_M83552-11191,32.828681,-96.810625,4415 Lorraine Ave,Highland Park,TX,75205.0,4850000.0,5.0,5.0,1.0,6938.0,,0.26,Pending,699,288 days,Single Family Home,2016.0,Traditional,"New Construction Completed in 2018! Experience the ultimate in Luxury on Lorraine. Custom finishes throughout this new construction home by builder Chad Brown exudes the highest level of custom detail. Paul Turney in collaboration with designer Philip Vanderford created the ultimate in timeless architecture and refined interior finishes. Lighting by Shane Douglas, Custom Master Closets by Kathleen Jacobson, The Couture Closet and landscape by Mathew Murrey Design. Main house has 6421sq ft and quarters is additional 517 sf"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/7909-Stanford-Ave_Dallas_TX_75225_M86758-60170?ex=TX634384171,32.85324,-96.771416,7909 Stanford Ave,Dallas,TX,75225.0,1525000.0,5.0,4.0,1.0,4407.0,,0.25,Active,346,289 days,Single Family Home,2018.0,Traditional,"A Highland Park school system new build of exceptional transitional architecture, on a quiet cul-de-sac. This home is where fine entertaining meets warm family living. Solid white oak flooring adorns this home which boasts 4 bedrooms, 4.5 baths, a game room and study. The luxurious master suite features dual walk-in closets and an exquisite spa bath. A butler's pantry, complete with a wine refrigerator, connects the dining room to the chef's kitchen, featuring Bosch appliances, marble and quartz countertops, and custom European cabinetry. The gourmet kitchen overlooks a grand, spacious family room with a cozy Heat and Glow Messo60 fireplace; beautiful, natural light streams in from Pella windows and doors."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/1717-Arts-Plz-Apt-1909_Dallas_TX_75201_M71169-97912,32.791967,-96.795237,1717 Arts Plz Apt 1909,Dallas,TX,75201.0,1400000.0,2.0,2.0,,2524.0,,3.0,Pending,555,164 days,Condo/Townhome/Row Home/Co-Op,2007.0,"Contemporary,Modern","Exquisite high rise condo in the heart of the Arts District in Dallas!Luxury living at it's finest with high end amenities to match your exclusive condo.1 Arts Plaza is a full service lifestyle with 24 hr concierge, state of the art pool, gym, and conference room on your roof also owners receive up to 15% discount in featured restaurants on lower level.This modern condo features 2 bedroom and den, open floor plan kitchen, dining, and family room with floor to ceiling windows facing downtown Dallas! Additional features include California closets and automatic blinds including black out shades.Most prominent feature is your condo length balcony overlooking the courtyard below. Equipped with gas line and storage."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4305-Timberglen-Rd_Dallas_TX_75287_M84180-51751,33.004346999999996,-96.83683,4305 Timberglen Rd,Dallas,TX,75287.0,300000.0,3.0,2.0,1.0,2079.0,6098.0,,Active,144,245 days,Single Family Home,1988.0,,"This Dallas two-story offers granite kitchen countertops, master suite with a walk-in closet and separate tub and shower, and a fireplace. A community pool is part of the HOA. Home comes with a 30-day buyback guarantee. Terms and conditions apply."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2406-Vilbig-Rd_Dallas_TX_75212_M79706-92024,32.77458,-96.847825,2406 Vilbig Rd Lot 1,Dallas,TX,75212.0,295000.0,,,,,,0.27,Active,,68 days,Land,1945.0,,Perfect spot for large commercial development. This lot can be combined with 1731 and 1736 Pablo Street for a huge corner lot development project. Incredible investment opportunity!
03/31/2019,https://www.realtor.com/realestateandhomes-detail/1731-Pablo-St_Dallas_TX_75212_M70966-71129,32.774409999999996,-96.847484,1731 Pablo St Lot 9,Dallas,TX,75212.0,55000.0,,,,,7057.0,,Active,,68 days,Land,,,"Perfect spot for large commercial development project. This lot can be combined with 1736 Pablo and 2406 Vilbig. Incredible investment opportunity! All information provided is deemed reliable, but is not guaranteed and should be independently verified."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/39-Braewood-Pl_Dallas_TX_75248_M72506-78034,32.972744,-96.812093,39 Braewood Pl,Dallas,TX,75248.0,3999000.0,5.0,6.0,1.0,13713.0,,0.52,Active,292,302 days,Single Family Home,2009.0,"Contemporary,Modern,Mediterranean","This wonderful transitional-styled residence has exceptional exterior appeal and dramatic architectural details throughout! The main level houses two large living areas, luxurious master suite, guest suite, study, and music room! The basement with outside entry offers a fully equipped home theater with walk-in wet bar, game area, second media room, and climate controlled wine rm. Located on the upper level are 3 en suite bedrooms, game room, media room, living area, and office. Dramatic details include soaring ceilings, arched doorways, sweeping staircases, numerous balconies, and elevator from basement to 2nd floor! Seller is offering $100, 000 outdoor living allowance for an acceptable contract by 4-30-19!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4545-Bowser-Ave-202_Dallas_TX_75219_M88804-62879,32.820040999999996,-96.813389,4545 Bowser Ave Unit 202,Dallas,TX,75219.0,499000.0,3.0,3.0,1.0,1763.0,5445.0,,Active,283,283 days,Condo/Townhome/Row Home/Co-Op,2019.0,"Contemporary,Modern","Melrose Heights Townhomes Phase II, 12 modern Townhomes for the 21st Century. 6 Floor Plans. All have 3 bedrooms, 3.5 baths and range in size from 1763 to 2225 square feet. Kitchen has quartz countertops, stainless steel appliances, gas cooktop and European cabinets. Buy early and make selections to customize your home.Anticipated completion date is Q1 2019."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4215-Blackheath-Rd_Dallas_TX_75227_M75312-61234,32.78663,-96.695649,4215 Blackheath Rd,Dallas,TX,75227.0,,3.0,2.0,1.0,2358.0,9361.0,,Sold,No Info,,Single Family Home,1981.0,,", - Great new price for the new year in conveniently located Buckner Terrace.Home features large living area w fireplace, built-ins, sep dining room, high ceilings, skylights and wet bar.Screened porch off living room. Plenty of kitchen cabinets and countertops. Built-in and window seat in breakfast room leading to half bath and utility room, small office, and attached, rear-entry 2 car garage w add covered parking in 2 car carport.All 3 bedrooms are nice sized - master features multiple closets and ensuite. Pull down stairs provide additional attic storage. 2358 sf. Fenced yard w fruit trees and storage shed. Quiet street in hot, flipping neighborhood- bring your updating ideas to make this your own!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/6943-Lindsley-Ave_Dallas_TX_75223_M75506-69269,32.80679,-96.739953,6943 Lindsley Ave,Dallas,TX,75223.0,499900.0,3.0,2.0,,1710.0,7144.0,,Active,292,168 days,Single Family Home,1928.0,Tudor,"Beautifully updated Tudor in Hollywood Heights Conservation District. Updates include all new electrical, all new plumbing, new lowE windows, refinished hardwood floors, new ceramic tile, new kitchen cabinets, quartz counters, stainless steel appliance, new central heat and air pls much more! Foundation repaired, includes transferable warranty. Close to schools, park and minutes from I30 and Downtown Dallas. Buyer and Buyers agent to verify schools and measurements."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/6568-Leaning-Oaks-St_Dallas_TX_75241_M81963-72525,32.657077,-96.768021,6568 Leaning Oaks St,Dallas,TX,75241.0,155000.0,3.0,2.0,,1514.0,6360.0,,Pending,102,166 days,Single Family Home,2006.0,Traditional,Bang for your Buck! Dallas Proper Single Story 3 bed 2 bath with a monthly payment you'd easily enjoy! See it while it lasts!!! The owner has taken much pride in this home. Mature neighborhood with neighbors you'd enjoy living next to. Be sure not to let this one pass you by!
03/31/2019,https://www.realtor.com/realestateandhomes-detail/18515-Shadow-Ridge-Dr_Dallas_TX_75287_M82512-61988,33.003547999999995,-96.863206,18515 Shadow Ridge Dr,Dallas,TX,75287.0,,3.0,2.0,1.0,2457.0,6710.0,,Sold,No Info,,Single Family Home,1991.0,,", - Beautiful Home with inviting curb appeal including nice landscaping, glass front door, and large front windows. Gorgeous wood floors adorn the entry, formal dining, and formal living. High ceiling entry. Kitchen boasts lots of cabinetry, tile flooring, and center island. Family room includes brick fireplace with gas logs and hearth. Spacious Master suite with stylish interior paint. Master bath featuring separate shower and jetted tub. Laundry room with own sink and Secondary bathroom with dual sinks. Large game room with ceiling fan. Beautiful backyard includes stone patio, large space, and lots of mature trees for privacy to enjoy outdoor living and entertaining. This home is a must see!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2742-Yellow-Jasmine-Ln_Dallas_TX_75212_M71141-85113,32.776794,-96.84046,2742 Yellow Jasmine Ln,Dallas,TX,75212.0,475000.0,3.0,3.0,1.0,1849.0,1525.0,,Active,257,310 days,Single Family Home,2018.0,"Contemporary,Modern","NEW DAVID WEEKLY HOME! Detached 4 Story Home in Parkside at Trinity Green. Conveniently located just 5 minutes from downtown, Trinity Groves, Bishop Arts, Stevens Park, Victory Park, museums, Love Field, and AA Center-everything at your fingertips. Transitional styling offers a wonderful open concept living-dining-kitchen area, gorgeous roof-top Outdoor Living Center, hardwood flooring, granite counter tops, stainless steel appliances, and stunning design details. Excellent green features, warranty, and builder reputation."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/6023-Lupton-Dr_Dallas_TX_75225_M84383-61689,32.877295000000004,-96.802915,6023 Lupton Dr,Dallas,TX,75225.0,,5.0,5.0,2.0,6238.0,,0.43,Sold,No Info,,Single Family Home,2013.0,,", - Elegant Transitional in Preston Hollow built by Allen Nixon on prime .43 acre lot. Gracious master retreat + private guest suite on 1st floor. Textural layers of reclaimed brick, wood beams, and cast stone are accented by copper fixtures, ironwork and a neutral color pallet. 6, 238sf of luxury living: 5 bed, 5.2 bath, 4 living, 3 fireplaces, and 3 car garage. Control 4 media, lighting, security system. Dream kitchen with Sub Zero and Wolf appliances, Sonic ice, butler's pantry, dining room, bar and temp controlled wine room flow for easy entertaining. Sparkling pool and spacious outdoor living and yard. Light and Bright turn-key home."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5175-Brickellia-Dr_Dallas_TX_75209_M88360-53248,,,5175 Brickella Dr,Dallas,TX,75209.0,424990.0,2.0,2.0,1.0,1216.0,,,Active,349,289 days,Single Family Home,2019.0,"Contemporary,Modern","COMING SOON TO OAK PARK! This charming NEW DAVID WEEKLEY two story plan offers 2 bedrooms, 2.5 baths and a study. Kitchen is open to the family and dining rooms mastering the open floor concept. You'll enjoy a generous island for food preparation with seating for your guests at the counter. Plenty of storage- no shortage of space! Build to suit your personal lifestyle with various options for flooring and colors. Outstanding community amenities! Excellent builder reputation, green features and 1-2-10 Warranty!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/3219-Saint-Johns-Dr_Dallas_TX_75205_M82058-86559,32.834223,-96.784945,3219 Saint Johns Dr,Highland Park,TX,75205.0,1775000.0,5.0,5.0,1.0,4997.0,7492.0,,Pending,355,164 days,Single Family Home,1999.0,Mediterranean,"Updated Mediterranean with modern touches on corner lot in the heart of Highland Park. Entry opens to oversized formal living anchored by FP w marble surround. Light-filled family room opens to outdoor LA w grassy backyard through French doors & feat FP w stone surround. Chef's kitchen feat SS appl incl dual dishwashers & sinks, Viking range w dbl oven, addl dbl ovens, addl bev fridge, wine cooler, ice maker & warming drawer. Office w built in desk & 2-car garage off kitchen. Traditional 2nd story floorplan w 4 en suite beds off lrg landing w balcony overlooking backyard. Expansive master has sitting area & spa bath w dual sinks, sep shower & tub; large walk-in closet. Large 5th bed makes great playroom."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/8309-Chadbourne-Rd_Dallas_TX_75209_M80967-05603,32.855540999999995,-96.820162,8309 Chadbourne Rd,Dallas,TX,75209.0,1495000.0,4.0,3.0,1.0,4902.0,8146.0,,Pending,305,164 days,Single Family Home,2013.0,"Contemporary,Modern,Traditional","Beautiful transitional home in coveted Devonshire neighborhood. Features luxurious high-end designer finishes throughout. Five total bedrooms and four baths make this the perfect family home. Luxurious separate entry quarters include 5th BR with sitting area and full bath (576 sq.ft. per tax included in sq.ftg.) above 2 car garage. Bright chefs kitchen with top appliances opens to large family & breakfast rooms with high ceilings, which open to outdoor living spaces & yard. Study & formal dining also on first floor. Spacious master and three additional bedrooms upstairs with huge game room. Recently added front courtyard provides additional outdoor living area."
